chrom1	start1	end1	chrom2	start2	end2	ipet_2
chr1	1244681	1245239	chr1	1440588	1441105	2
chr1	1289923	1290423	chr1	198087185	198087685	2
chr1	2115552	2116062	chr1	108864179	108864679	2
chr1	2201017	2201528	chr1	62021635	62022135	2
chr1	2204563	2205063	chr1	2267796	2268297	2
chr1	2345649	2346589	chr1	2479271	2480018	2
chr1	2407242	2407742	chr1	3656035	3656535	2
chr1	3806681	3807181	chr1	4121498	4121998	2
chr1	4181310	4181810	chr1	97304434	97304934	2
chr1	5543740	5544240	chr1	23670302	23670803	2
chr1	5569531	5570395	chr1	5680852	5681580	2
chr1	5569767	5570267	chr1	5678187	5678687	2
chr1	5571327	5571827	chr1	5805556	5806057	2
chr1	5907183	5907683	chr1	5989367	5989867	2
chr1	5908598	5909098	chr1	64114237	64114737	2
chr1	6168643	6169450	chr1	6231631	6232601	3
chr1	6304849	6305349	chr1	116617671	116618171	2
chr1	6407742	6408341	chr1	6497818	6498363	2
chr1	6483520	6484028	chr1	6498252	6498784	2
chr1	7385886	7386386	chr1	155550217	155550739	2
chr1	7653047	7653547	chr1	197248922	197249426	2
chr1	7898980	7899480	chr1	17030599	17031099	2
chr1	7941387	7941887	chr1	9035591	9036091	2
chr1	9170540	9171556	chr1	9256099	9256769	4
chr1	9178648	9179148	chr1	214903163	214903663	2
chr1	9348661	9349328	chr1	9551293	9551849	2
chr1	9934698	9935554	chr1	9950696	9951490	2
chr1	10010244	10011121	chr1	10092217	10092875	2
chr1	10448062	10448945	chr1	10459228	10459750	2
chr1	10490309	10490813	chr1	10554301	10555077	2
chr1	10566347	10567029	chr1	10857057	10857968	2
chr1	10690094	10690673	chr1	11001847	11002525	2
chr1	10747041	10747564	chr1	41966775	41967275	2
chr1	11274920	11275420	chr1	11852493	11852994	2
chr1	11301462	11302169	chr1	11705344	11705995	2
chr1	11397222	11397847	chr1	11424173	11424966	2
chr1	11538457	11539361	chr1	11702105	11702941	3
chr1	12184991	12185566	chr1	12268648	12269595	2
chr1	15454643	15455634	chr1	15480334	15481010	2
